종목코드,종목명,시장,현재가,등락률,거래량,거래대금,시가총액,상장주식수
060310,3S,KOSDAQ,1710,-1.27,2614905,4518434189,90730958400,53059040
095570,AJ네트웍스,KOSPI,4630,-2.32,346979,1612648251,209520274170,45252759
006840,AK홀딩스,KOSPI,7690,-2.78,23056,177947730,101873744090,13247561
054620,APS,KOSDAQ,6030,-4.44,192052,1159005695,110917152630,18394221
079810,APS이노베이션,KOSDAQ,5450,-6.03,624753,3435230825,117328112300,21528094
265520,AP시스템,KOSDAQ,27650,-3.66,303206,8402636850,416155200650,15050821
211270,AP위성,KOSDAQ,16300,-4.57,441768,7495974590,245841555200,15082304
027410,BGF,KOSPI,4780,-2.94,223977,1080896673,457526260980,95716791
282330,BGF리테일,KOSPI,132600,-0.08,80000,10519091700,2291845935600,17283906
126600,BGF에코머티리얼즈,KOSDAQ,3810,-2.31,360356,1380141759,239141885190,62766899
138930,BNK금융지주,KOSPI,17480,-0.91,1239314,21721357865,5424516536840,310327033
001460,BYC,KOSPI,46000,-1.08,12660,576385200,287322900000,6246150
001465,BYC우,KOSPI,31950,-1.69,3003,94868550,68815507500,2153850
083790,CG인바이츠,KOSDAQ,1217,6.29,547562,627283555,93580219494,76894182
001040,CJ,KOSPI,208000,-4.81,293328,60228773600,6068815584000,29176998
079160,CJ CGV,KOSPI,5040,3.7,1277936,6428992705,834535139760,165582369
035760,CJ ENM,KOSDAQ,45900,-4.38,169242,7836334050,1006548168600,21929154
311690,CJ 바이오사이언스,KOSDAQ,7120,-4.43,33372,241129205,93026089440,13065462
00104K,CJ4우(전환),KOSPI,180800,-4.54,13753,2462225400,764153369600,4226512
000120,CJ대한통운,KOSPI,95700,-1.54,106422,10167019800,2183141320800,22812344
011150,CJ씨푸드,KOSPI,2550,-1.35,296600,754135787,91623471150,35930773
011155,CJ씨푸드1우,KOSPI,13170,-0.98,287,3764240,2634000000,200000
001045,CJ우,KOSPI,85700,-3.6,9037,774799600,193701111100,2260223
097950,CJ제일제당,KOSPI,212500,-5.76,127251,27201802000,3199014525000,15054186
097955,CJ제일제당 우,KOSPI,132600,-1.41,9483,1261049600,176017615800,1327433
051500,CJ프레시웨이,KOSDAQ,25400,-4.69,57209,1458060600,301538284400,11871586
058820,CMG제약,KOSDAQ,1513,-0.13,1378166,2101589320,223685222879,147842183
056730,CNT85,KOSDAQ,514,0.0,0,0,38093149604,74111186
000480,CR홀딩스,KOSPI,4820,-2.13,62664,303437300,226012161800,46890490
065770,CS,KOSDAQ,1584,0.0,0,0,30747229920,19411130
083660,CSA 코스믹,KOSDAQ,334,-0.6,1406885,472357417,20985039306,62829459
000590,CS홀딩스,KOSPI,75900,-2.44,749,56797000,87625183800,1154482
012030,DB,KOSPI,2255,3.68,14738892,33865932717,453647218915,201173933
477760,DB금융스팩12호,KOSDAQ,2230,0.0,0,0,13023200000,5840000
005830,DB손해보험,KOSPI,161500,-0.43,277919,44865618750,10578306363500,65500349
016610,DB증권,KOSPI,14020,-5.91,212804,3022959700,595098373780,42446389
000990,DB하이텍,KOSPI,165800,-11.19,1162235,197338794000,7213060690400,43504588
099520,DGI,KOSDAQ,1284,0.0,0,0,58141862016,45281824
000300,DH오토넥스,KOSPI,4200,0.0,0,0,174035631000,41437055
290120,DH오토리드,KOSDAQ,2745,-1.79,65245,179196145,43437563505,15824249
025440,DH오토웨어,KOSDAQ,834,3.6,530659,452401131,40683540816,48781224
001530,DI동일,KOSPI,26100,-2.97,82718,2152931750,540677708100,20715621
015590,DKME,KOSPI,2575,0.0,0,0,122045493100,47396308
000210,DL,KOSPI,61700,-7.91,186475,11515284050,1292978042800,20955884
000215,DL우,KOSPI,27000,-6.25,9194,251586125,45525105000,1686115
375500,DL이앤씨,KOSPI,85900,-5.91,1099488,95008700400,3323782215700,38693623
37550L,DL이앤씨2우(전환),KOSPI,51300,-5.7,13931,717101000,108343086300,2111951
37550K,DL이앤씨우,KOSPI,27950,-5.25,18848,535596900,59083085750,2113885
068790,DMS,KOSDAQ,7870,-2.24,168549,1328112155,177627662880,22570224
007340,DN오토모티브,KOSPI,46650,-4.31,313940,14869526150,2729531852250,58510865
004840,DRB동일,KOSPI,4980,-0.1,37063,186195415,95976372720,19272364
241520,DSC인베스트먼트,KOSDAQ,15220,-3.85,1135915,17340124310,404852000000,26600000
155660,DSR,KOSPI,4210,-2.09,50234,212685770,67360000000,16000000
069730,DSR제강,KOSPI,5140,-0.39,81094,416937020,74016000000,14400000
017860,DS단석,KOSPI,20750,-3.71,304872,6360553725,368502134250,17759139
180400,DXVX,KOSDAQ,3870,-2.64,151786,593507267,380921901840,98429432
092780,DYP,KOSPI,4940,-2.76,124639,625292475,65052192400,13168460
017940,E1,KOSPI,100900,1.0,14445,1445768900,692174000000,6860000
418620,E8,KOSDAQ,1270,-4.94,279779,364469618,25210105790,19850477
245620,EDGC,KOSDAQ,415,0.0,0,0,57474989665,138493951
037370,EG,KOSDAQ,5000,-1.19,38954,193582785,43124860000,8624972
365550,ESR켄달스퀘어리츠,KOSPI,4295,-2.39,418150,1782040502,1056952255000,246089000
050120,ES큐브,KOSDAQ,2835,0.18,23575,66663155,38454183810,13564086
383220,F&F,KOSPI,83500,-3.02,141117,11799038950,3198640762500,38307075
007700,F&F홀딩스,KOSPI,19130,-4.11,40950,784188715,748257840710,39114367
214270,FSN,KOSDAQ,1819,-3.24,268561,486788727,82318090115,45254585
032620,GC메디아이,KOSDAQ,3820,0.79,166764,632957871,199393070980,52197139
130500,GH신소재,KOSDAQ,2450,1.24,98641,240296645,35635377400,14545052
114090,GKL,KOSPI,11220,-0.53,511471,5643708410,694020617400,61855670
900290,GRT,KOSDAQ,3425,-3.52,504502,1743096021,280165000000,81800000
078930,GS,KOSPI,76200,-1.55,266116,20335464100,7080151803600,92915378
083450,GST,KOSDAQ,63700,-2.3,684362,43652450400,1173991000000,18430000
006360,GS건설,KOSPI,34000,-6.08,2102515,71817698200,2909770660000,85581490
001250,GS글로벌,KOSPI,4180,-0.83,4347756,18744907227,344991133520,82533764
007070,GS리테일,KOSPI,25650,-0.97,256798,6548389700,2144530194750,83607415
078935,GS우,KOSPI,55900,-0.71,12678,707605500,99771773400,1784826
499790,GS피앤엘,KOSPI,47700,-5.36,275565,13183539250,945931115700,19830841
297890,HB솔루션,KOSDAQ,2440,-4.13,1074602,2621499658,178463830160,73140914
440290,HB인베스트먼트,KOSDAQ,2035,-2.16,286546,600332815,55975585050,27506430
078150,HB테크놀러지,KOSDAQ,4535,-8.66,12947798,58118545387,420466679060,92715916
225530,HC보광산업,KOSDAQ,2945,-2.32,80103,237032130,107017551015,36338727
060560,HC홈센타,KOSDAQ,2985,-5.84,48355,143561409,75783182985,25388001
012630,HDC,KOSPI,25250,-7.17,266809,6872263400,1508478455250,59741721
039570,HDC랩스,KOSPI,7980,-0.87,49718,396641900,207141655980,25957601
089470,HDC현대EP,KOSPI,5000,-7.06,392672,1993661145,159500000000,31900000
267270,HD건설기계,KOSPI,178900,-0.83,405851,71348446200,8582569710200,47974118
009540,HD한국조선해양,KOSPI,464500,-2.0,316344,146988783000,32874112382000,70773116
267250,HD현대,KOSPI,287000,-2.21,255201,73682665250,22671015395000,78993085
443060,HD현대마린솔루션,KOSPI,248500,-3.31,234385,58426521750,11141114810000,44833460
071970,HD현대마린엔진,KOSPI,88400,-2.54,408518,35727531050,2998660158000,33921495
322000,HD현대에너지솔루션,KOSPI,207000,8.72,945427,191710326700,2318400000000,11200000
267260,HD현대일렉트릭,KOSPI,1309000,-3.89,218673,288186357500,47185699715000,36047135
329180,HD현대중공업,KOSPI,707000,3.21,892919,630625444500,74207586075000,104961225
376270,HEM파마,KOSDAQ,76700,9.42,90998,6980504100,551180542900,7186187
097230,HJ중공업,KOSPI,25400,-6.27,2100630,53623829500,2293501737600,90295344
