종목코드,종목명,시장,현재가,등락률,거래량,거래대금,시가총액,상장주식수
060310,3S,KOSDAQ,1739,16.01,14872298,26472758878,92269670560,53059040
095570,AJ네트웍스,KOSPI,4635,-2.01,453476,2086665856,209746537965,45252759
006840,AK홀딩스,KOSPI,7570,-2.95,10181,77766440,100284036770,13247561
054620,APS,KOSDAQ,5130,-6.56,127209,660617900,94362353730,18394221
079810,APS이노베이션,KOSDAQ,4685,-6.67,357802,1712394079,100859120390,21528094
265520,AP시스템,KOSDAQ,25850,-5.48,140193,3686363650,389063722850,15050821
211270,AP위성,KOSDAQ,17000,-7.56,593684,10240992435,256399168000,15082304
027410,BGF,KOSPI,4540,-2.58,220458,1009381199,434554231140,95716791
282330,BGF리테일,KOSPI,126400,-2.32,51075,6442251700,2184685718400,17283906
126600,BGF에코머티리얼즈,KOSDAQ,3645,-3.32,210301,765769265,228785346855,62766899
138930,BNK금융지주,KOSPI,17140,-3.0,1162536,19930767475,5319005345620,310327033
001460,BYC,KOSPI,40100,-4.98,3195,129579225,250470615000,6246150
001465,BYC우,KOSPI,29100,-3.48,2177,63277600,62677035000,2153850
083790,CG인바이츠,KOSDAQ,1151,1.23,344903,393616463,88505203482,76894182
001040,CJ,KOSPI,169300,-2.08,107979,18437834850,4939665761400,29176998
079160,CJ CGV,KOSPI,4570,-1.93,570684,2620171810,756711499450,165582385
035760,CJ ENM,KOSDAQ,40250,-2.19,90937,3677725450,882648448500,21929154
311690,CJ 바이오사이언스,KOSDAQ,5610,-4.92,65848,374815900,73297241820,13065462
00104K,CJ4우(전환),KOSPI,151500,-1.37,7265,1094786150,640316568000,4226512
000120,CJ대한통운,KOSPI,85800,-3.6,83615,7197005350,1957299115200,22812344
011150,CJ씨푸드,KOSPI,2245,-4.06,243071,555534330,80664585385,35930773
011155,CJ씨푸드1우,KOSPI,12990,-0.15,18,231460,2598000000,200000
001045,CJ우,KOSPI,81800,-0.24,5722,467775400,184886241400,2260223
097950,CJ제일제당,KOSPI,206500,-2.13,60762,12538581000,3108689409000,15054186
097955,CJ제일제당 우,KOSPI,129100,-0.69,9403,1210550300,171371600300,1327433
051500,CJ프레시웨이,KOSDAQ,23300,-3.12,57466,1326603350,276607953800,11871586
058820,CMG제약,KOSDAQ,1300,-5.11,1467698,1924344668,192194837900,147842183
056730,CNT85,KOSDAQ,2085,-1.65,9312,19179085,30904364145,14822237
000480,CR홀딩스,KOSPI,4785,-0.93,27381,131459944,224370994650,46890490
065770,CS,KOSDAQ,2380,-17.93,808619,2100061137,23099244700,9705565
083660,CSA 코스믹,KOSDAQ,280,-3.11,975593,272354307,17592248520,62829459
000590,CS홀딩스,KOSPI,77100,0.13,2312,177236700,89010562200,1154482
012030,DB,KOSPI,2350,-2.08,4197592,9978946344,472758742550,201173933
477760,DB금융스팩12호,KOSDAQ,2030,0.0,233878,475914437,11855200000,5840000
005830,DB손해보험,KOSPI,144500,-2.76,283927,41413373000,9464800430500,65500349
016610,DB증권,KOSPI,11470,-4.02,116827,1360253325,486860081830,42446389
000990,DB하이텍,KOSPI,202000,-8.39,1134393,236748040500,8787926776000,43504588
099520,DGI,KOSDAQ,1284,0.0,0,0,58141862016,45281824
000300,DH오토넥스,KOSPI,4200,0.0,0,0,174035631000,41437055
290120,DH오토리드,KOSDAQ,2865,2.32,55814,158093624,45336473385,15824249
025440,DH오토웨어,KOSDAQ,781,-2.01,209403,162401445,38098135944,48781224
001530,DI동일,KOSPI,25300,-6.81,107218,2718258875,524105211300,20715621
015590,DKME,KOSPI,2495,-0.2,700560,1654064194,133223788460,53396308
000210,DL,KOSPI,56200,-7.11,106614,6105654200,1177720680800,20955884
000215,DL우,KOSPI,24700,-4.45,4304,106959225,41647040500,1686115
375500,DL이앤씨,KOSPI,78400,-4.27,455450,35993508100,3033580043200,38693623
37550L,DL이앤씨2우(전환),KOSPI,48000,-4.0,9316,446688225,101373648000,2111951
37550K,DL이앤씨우,KOSPI,25000,-5.12,11993,302449800,52847125000,2113885
068790,DMS,KOSDAQ,6890,-6.13,131774,919017395,155508843360,22570224
007340,DN오토모티브,KOSPI,45450,-2.88,221429,10261899925,2659318814250,58510865
004840,DRB동일,KOSPI,4795,-2.84,27077,128269975,92410985380,19272364
241520,DSC인베스트먼트,KOSDAQ,13330,-4.72,490690,6594803085,354578000000,26600000
155660,DSR,KOSPI,4215,-2.09,55811,234611721,67440000000,16000000
069730,DSR제강,KOSPI,5300,-1.49,57834,305814395,76320000000,14400000
017860,DS단석,KOSPI,18340,-5.17,176807,3256827575,325702609260,17759139
180400,DXVX,KOSDAQ,3165,-1.56,208364,662678025,311529152280,98429432
092780,DYP,KOSPI,5070,0.0,39914,200932320,66764092200,13168460
017940,E1,KOSPI,86900,-2.91,12298,1080088700,596134000000,6860000
418620,E8,KOSDAQ,1349,3.13,257565,344791088,26778293473,19850477
