종목코드,종목명,시장,현재가,등락률,거래량,거래대금,시가총액,상장주식수
060310,3S,KOSDAQ,1694,-6.67,1838103,3186615702,89882013760,53059040
095570,AJ네트웍스,KOSPI,4665,2.64,185917,855893391,211104120735,45252759
006840,AK홀딩스,KOSPI,7920,1.67,9359,72722970,104920683120,13247561
054620,APS,KOSDAQ,5990,-0.99,193323,1148504885,110181383790,18394221
079810,APS이노베이션,KOSDAQ,5670,1.43,277704,1550984210,122064292980,21528094
265520,AP시스템,KOSDAQ,28150,-1.05,136925,3789760700,423680611150,15050821
211270,AP위성,KOSDAQ,16200,-3.86,209394,3420541890,244333324800,15082304
027410,BGF,KOSPI,4975,4.85,495438,2446128824,476191035225,95716791
282330,BGF리테일,KOSPI,146000,9.2,100450,14265064200,2523450276000,17283906
126600,BGF에코머티리얼즈,KOSDAQ,3880,4.44,6941834,29302600138,243535568120,62766899
138930,BNK금융지주,KOSPI,17500,1.8,2743890,47336346990,5430723077500,310327033
001460,BYC,KOSPI,46750,1.41,2401,111368750,292007512500,6246150
001465,BYC우,KOSPI,32800,2.02,299,9693300,70646280000,2153850
083790,CG인바이츠,KOSDAQ,1190,-0.5,151357,174540307,91504076580,76894182
001040,CJ,KOSPI,213000,5.19,144872,30588019300,6214700574000,29176998
079160,CJ CGV,KOSPI,4970,1.95,371795,1833755781,822944373930,165582369
035760,CJ ENM,KOSDAQ,44250,1.61,178680,7842308875,970365064500,21929154
311690,CJ 바이오사이언스,KOSDAQ,6860,1.48,44819,302971850,89629069320,13065462
00104K,CJ4우(전환),KOSPI,185500,5.1,14151,2577240250,784017976000,4226512
000120,CJ대한통운,KOSPI,94800,-0.63,123199,11423119900,2162610211200,22812344
011150,CJ씨푸드,KOSPI,2540,1.8,134686,340292118,91264163420,35930773
011155,CJ씨푸드1우,KOSPI,13300,0.99,465,6143420,2660000000,200000
001045,CJ우,KOSPI,87500,2.94,3367,290027650,197769512500,2260223
097950,CJ제일제당,KOSPI,230500,10.55,138632,31262139000,3469989873000,15054186
097955,CJ제일제당 우,KOSPI,135900,4.78,9652,1295281200,180398144700,1327433
051500,CJ프레시웨이,KOSDAQ,26850,4.47,28571,761359950,318752084100,11871586
058820,CMG제약,KOSDAQ,1509,1.07,954446,1442559955,223093854147,147842183
056730,CNT85,KOSDAQ,514,0.0,0,0,38093149604,74111186
000480,CR홀딩스,KOSPI,4850,0.73,32131,155379587,227418876500,46890490
065770,CS,KOSDAQ,1584,0.0,0,0,30747229920,19411130
083660,CSA 코스믹,KOSDAQ,326,0.0,1093830,370789455,20482403634,62829459
000590,CS홀딩스,KOSPI,77800,2.37,666,51293250,89818699600,1154482
012030,DB,KOSPI,2265,-1.52,2438666,5548879582,455658958245,201173933
477760,DB금융스팩12호,KOSDAQ,2230,0.0,0,0,13023200000,5840000
005830,DB손해보험,KOSPI,173000,7.59,291682,49411861100,11331560377000,65500349
016610,DB증권,KOSPI,13880,0.0,99266,1373604125,589155879320,42446389
000990,DB하이텍,KOSPI,182800,-1.51,460860,83986551400,7952638686400,43504588
099520,DGI,KOSDAQ,1284,0.0,0,0,58141862016,45281824
000300,DH오토넥스,KOSPI,4200,0.0,0,0,174035631000,41437055
290120,DH오토리드,KOSDAQ,2755,0.55,25620,69741575,43595805995,15824249
025440,DH오토웨어,KOSDAQ,813,-4.01,200700,163203061,39659135112,48781224
001530,DI동일,KOSPI,30550,6.26,318533,9788558100,632862221550,20715621
015590,DKME,KOSPI,2575,0.0,0,0,122045493100,47396308
000210,DL,KOSPI,63200,1.94,174870,10852654600,1324411868800,20955884
000215,DL우,KOSPI,26650,-0.19,4421,116480300,44934964750,1686115
375500,DL이앤씨,KOSPI,85000,2.16,565902,47476462800,3288957955000,38693623
37550L,DL이앤씨2우(전환),KOSPI,50000,2.04,16044,789333500,105597550000,2111951
37550K,DL이앤씨우,KOSPI,27200,0.74,15785,423593625,57497672000,2113885
068790,DMS,KOSDAQ,7570,-1.43,79969,604710020,170856595680,22570224
007340,DN오토모티브,KOSPI,48300,2.77,239058,11338893125,2826074779500,58510865
004840,DRB동일,KOSPI,5000,1.11,19895,98169402,96361820000,19272364
241520,DSC인베스트먼트,KOSDAQ,14690,-0.74,517496,7566512585,390754000000,26600000
155660,DSR,KOSPI,4185,2.07,113912,470467630,66960000000,16000000
069730,DSR제강,KOSPI,5180,2.57,46966,241903390,74592000000,14400000
017860,DS단석,KOSPI,19830,-2.32,195459,3874307740,352163726370,17759139
180400,DXVX,KOSDAQ,3855,2.8,179142,680180845,379445460360,98429432
092780,DYP,KOSPI,5100,2.0,66123,332875970,67159146000,13168460
017940,E1,KOSPI,100400,1.93,10814,1061566700,688744000000,6860000
418620,E8,KOSDAQ,1414,7.69,333306,464002816,28068574478,19850477
245620,EDGC,KOSDAQ,415,0.0,0,0,57474989665,138493951
037370,EG,KOSDAQ,5060,0.8,63632,322028855,43642358320,8624972
365550,ESR켄달스퀘어리츠,KOSPI,4260,1.43,276125,1159423567,1048339140000,246089000
050120,ES큐브,KOSDAQ,2835,0.18,3777,10741295,38454183810,13564086
383220,F&F,KOSPI,83600,1.83,106163,8847173150,3202471470000,38307075
007700,F&F홀딩스,KOSPI,18610,1.2,9844,182304460,727918369870,39114367
214270,FSN,KOSDAQ,1638,-7.3,853771,1447249569,74127010230,45254585
032620,GC메디아이,KOSDAQ,3810,2.28,97826,369415429,198871099590,52197139
130500,GH신소재,KOSDAQ,2450,0.41,35391,86255719,35635377400,14545052
114090,GKL,KOSPI,12480,9.28,790949,9586447835,771958761600,61855670
900290,GRT,KOSDAQ,3385,-0.44,321264,1078241119,276893000000,81800000
078930,GS,KOSPI,74700,3.89,466242,34267209900,6940778736600,92915378
083450,GST,KOSDAQ,64600,-2.86,279525,18155397450,1190578000000,18430000
006360,GS건설,KOSPI,34850,4.97,1613029,54971876475,2982514926500,85581490
001250,GS글로벌,KOSPI,4005,0.13,1701379,6926062031,330547724820,82533764
007070,GS리테일,KOSPI,28800,9.09,548746,15418747875,2407893552000,83607415
078935,GS우,KOSPI,56800,2.34,5583,313567450,101378116800,1784826
499790,GS피앤엘,KOSPI,54500,12.84,184353,9805110400,1080780834500,19830841
297890,HB솔루션,KOSDAQ,2545,1.8,832251,2040738620,186143626130,73140914
440290,HB인베스트먼트,KOSDAQ,2060,0.0,124252,253903187,56663245800,27506430
078150,HB테크놀러지,KOSDAQ,4040,-6.48,5095628,20933095461,374572300640,92715916
225530,HC보광산업,KOSDAQ,2995,0.34,35376,105640934,108834487365,36338727
060560,HC홈센타,KOSDAQ,3080,2.67,52937,159605790,78195043080,25388001
012630,HDC,KOSPI,24300,0.62,165575,3978226450,1451723820300,59741721
039570,HDC랩스,KOSPI,7970,0.38,8884,70856980,206882079970,25957601
089470,HDC현대EP,KOSPI,4995,1.22,96632,477118197,159340500000,31900000
267270,HD건설기계,KOSPI,171900,-4.18,312682,53695776950,8246750884200,47974118
009540,HD한국조선해양,KOSPI,437500,-4.99,310707,137021688250,30963238250000,70773116
267250,HD현대,KOSPI,279000,-6.53,325174,91482105250,22039070715000,78993085
443060,HD현대마린솔루션,KOSPI,222000,-4.31,229603,51067710750,9953028120000,44833460
071970,HD현대마린엔진,KOSPI,84200,-3.11,283892,23804976600,2856189879000,33921495
322000,HD현대에너지솔루션,KOSPI,244000,15.09,2231524,548319418000,2732800000000,11200000
267260,HD현대일렉트릭,KOSPI,1267000,-1.02,133962,170855673500,45671720045000,36047135
329180,HD현대중공업,KOSPI,671000,-8.46,705246,480551133500,70428981975000,104961225
376270,HEM파마,KOSDAQ,64800,-5.4,52477,3329685400,465664917600,7186187
097230,HJ중공업,KOSPI,24700,0.61,854520,21028684325,2230294996800,90295344
195940,HK이노엔,KOSDAQ,50600,0.6,190186,9608223375,1433492484600,28329891
014790,HL D&I,KOSPI,3055,2.35,93677,283186187,115658026055,37858601
028300,HLB,KOSDAQ,53200,-0.56,774589,40288680150,7085350336400,133183277
003580,HLB글로벌,KOSPI,1954,-1.01,129245,249662386,98996488770,50663505
278650,HLB바이오스텝,KOSDAQ,1272,0.0,0,0,110870043648,87161984
067630,HLB생명과학,KOSDAQ,3715,-0.93,458354,1672555187,452921870470,121917058
024850,HLB이노베이션,KOSDAQ,23100,-0.22,305572,6960342525,733034563800,31733098
187420,HLB제넥스,KOSDAQ,2420,-1.63,194632,469796416,78504802420,32440001
047920,HLB제약,KOSDAQ,14740,-5.21,359102,5117270830,483462507440,32799356
115450,HLB테라퓨틱스,KOSDAQ,3185,-1.85,591105,1837337659,282127647165,88580109
046210,HLB파나진,KOSDAQ,1833,-1.45,154837,281418503,83452750680,45527960
196300,HLB펩,KOSDAQ,6590,-1.64,11099,72667360,61790733010,9376439
204320,HL만도,KOSPI,62900,-0.63,757395,46911007250,2953602848000,46957120
060980,HL홀딩스,KOSPI,46550,1.09,40944,1904717375,422620327850,9078847
011200,HMM,KOSPI,20100,1.36,1817808,35760474555,18959083197000,943237970
403870,HPSP,KOSDAQ,54700,-1.08,1498431,80688096950,4501810000000,82300000
036640,HRS,KOSDAQ,5050,0.2,51868,261196700,82591740000,16354800
035000,HS애드,KOSPI,7630,-9.92,250492,1955042805,123664323720,16207644
002460,HS화성,KOSPI,13520,-0.07,9772,130837185,137228000000,10150000
487570,HS효성,KOSPI,60300,0.5,18764,1135216250,224673398100,3725927
298050,HS효성첨단소재,KOSPI,239000,4.14,17149,4038837500,1070707572000,4479948
467930,IBKS제23호스팩,KOSDAQ,2130,-0.23,1415,3041140,9009900000,4230000
469480,IBKS제24호스팩,KOSDAQ,2455,5.82,108035,258439955,10384650000,4230000
0099X0,IBKS제25호스팩,KOSDAQ,2140,-0.23,14639,31201950,12797200000,5980000
015360,INVENI,KOSPI,16950,1.74,85394,1439211905,461887500000,27250000
294870,IPARK현대산업개발,KOSPI,23450,3.53,452656,10477548125,1545526888500,65907330
095340,ISC,KOSDAQ,247500,1.43,212046,51557321000,5246271855000,21197058
175330,JB금융지주,KOSPI,25650,3.64,727764,18402390650,4828704429600,188253584
950170,JTC,KOSDAQ,4875,0.72,107886,527171580,252263446500,51746348
234080,JW생명과학,KOSPI,12400,1.56,72967,888937470,196348469600,15834554
067290,JW신약,KOSDAQ,1755,2.69,335840,578951762,98345115765,56037103
001060,JW중외제약,KOSPI,31300,6.1,93696,2839441700,728849609000,23285930
001067,JW중외제약2우B,KOSPI,55000,0.0,184,10015400,11548515000,209973
001065,JW중외제약우,KOSPI,25300,-0.39,59,1490450,8651360300,341951
096760,JW홀딩스,KOSPI,4005,2.3,105246,418304316,296069392710,73924942
035900,JYP Ent.,KOSDAQ,59000,4.24,209869,12253635800,2096417028000,35532492
318000,KBG,KOSDAQ,4115,-0.12,19309,79691495,35966017645,8740223
008970,KBI동양철관,KOSPI,1610,-1.11,1269554,2051381490,167064720270,103766907
024840,KBI메탈,KOSDAQ,7780,1.83,9498289,74236583330,273977974840,35215678
105560,KB금융,KOSPI,156000,2.63,1283678,198144669150,58164670980000,372850455
415640,KB발해인프라,KOSPI,9910,-0.5,65266,646910320,1214426380680,122545548
432320,KB스타리츠,KOSPI,1682,6.86,1854056,3032329250,253585527370,150764285
024120,KB오토시스,KOSDAQ,3770,0.27,19845,74292935,43355000000,11500000
464680,KB제27호스팩,KOSDAQ,2097,0.1,11996,25132046,27061785000,12905000
478390,KB제29호스팩,KOSDAQ,2065,0.49,159753,326084870,12844300000,6220000
486630,KB제30호스팩,KOSDAQ,2060,0.49,5938,12192980,10938600000,5310000
492220,KB제31호스팩,KOSDAQ,2040,-0.73,287,585285,12668400000,6210000
0037T0,KB제32호스팩,KOSDAQ,2010,0.0,1816,3647145,12723300000,6330000
0072Z0,KB제33호스팩,KOSDAQ,1999,-0.05,26949,53836994,15762115000,7885000
002380,KCC,KOSPI,577000,0.87,33511,19130898000,5127493767000,8886471
021320,KCC건설,KOSDAQ,6750,1.66,34492,231028040,144450000000,21400000
344820,KCC글라스,KOSPI,26550,1.34,20737,546575825,424017093600,15970512
009070,KCTC,KOSPI,5470,4.39,247145,1328692905,164100000000,30000000
009440,KC그린홀딩스,KOSPI,756,0.0,0,0,17568790596,23239141
119650,KC코트렐,KOSPI,918,0.0,0,0,100782913662,109785309
044180,KD,KOSDAQ,205,0.0,0,0,5477148795,26717799
092220,KEC,KOSPI,1838,0.0,0,0,369002653158,200763141
003620,KG모빌리티,KOSPI,3910,-0.51,1281929,4940241971,791285905920,202374912
016380,KG스틸,KOSPI,7200,10.09,1391157,9804603770,720064058400,100008897
151860,KG에코솔루션,KOSDAQ,6440,3.04,178912,1124073125,306563332880,47603002
035600,KG이니시스,KOSDAQ,10640,2.41,106390,1110345055,293179177760,27554434
001390,KG케미칼,KOSPI,5560,2.39,367209,2007206195,373815646800,67233030
046440,KG파이낸셜,KOSDAQ,4675,3.66,106827,491362710,177700499350,38010802
060720,KH바텍,KOSDAQ,13340,-0.74,310728,4101553395,315857076280,23677442
001940,KISCO홀딩스,KOSPI,24450,0.2,2792,68037375,346612491000,14176380
058400,KNN,KOSDAQ,703,0.14,157963,110744837,93098093160,132429720
025000,KPX케미칼,KOSPI,52000,1.56,3842,197132900,227692868000,4378709
092230,KPX홀딩스,KOSPI,84600,-1.97,2525,212538400,357405051600,4224646
000040,KR모터스,KOSPI,398,1.27,176979,70742139,34377323232,86375184
044450,KSS해운,KOSPI,11520,2.04,96183,1097918915,265949337600,23085880
101000,KS인더스트리,KOSDAQ,784,-3.69,702586,535535137,31079287232,39641948
030200,KT,KOSPI,61600,3.88,790428,47388433812,15524535796000,252021685
033780,KT&G,KOSPI,189000,6.18,790963,148396953800,21673885905000,114676645
058850,KTcs,KOSPI,2635,0.38,147066,386426016,109100725750,41404450
058860,KTis,KOSPI,2810,0.36,127818,357288290,97793620000,34802000
089600,KT나스미디어,KOSDAQ,11540,0.79,22705,260186500,133496601020,11568163
418470,KT밀리의서재,KOSDAQ,11660,0.6,213751,2456639140,99877099740,8565789
043610,KT지니뮤직,KOSDAQ,1670,0.12,64360,106886659,97052781460,58115438
122450,KX,KOSDAQ,3050,0.66,145996,441150483,136700493700,44819834
052900,KX하이텍,KOSDAQ,1786,6.25,8205386,14136208814,124093480352,69481232
036560,KZ정밀,KOSDAQ,13570,0.15,26618,357708470,213727500000,15750000
061970,LB세미콘,KOSDAQ,5720,6.12,1144067,6179700280,332234794320,58083006
309960,LB인베스트먼트,KOSDAQ,5450,-1.62,60646,328729580,126533952550,23217239
093050,LF,KOSPI,25300,6.08,51264,1280690350,739772000000,29240000
003550,LG,KOSPI,117000,7.64,541046,62293890900,18043925445000,154221585
034220,LG디스플레이,KOSPI,15340,8.26,29685722,449594235775,7670000000000,500000000
051900,LG생활건강,KOSPI,283000,10.33,153309,41948946250,4330595897000,15302459
051905,LG생활건강우,KOSPI,115100,6.38,8464,953571500,241675124700,2099697
064400,LG씨엔에스,KOSPI,86100,17.14,9609127,804884524150,8341880122800,96885948
