종목코드,종목명,시장,현재가,등락률,거래량,거래대금,시가총액,상장주식수
005930,삼성전자,KOSPI,336500,-4.27,19344608,6509460592000,1967272800000000,5846279000
000660,SK하이닉스,KOSPI,2141000,-6.83,3319045,7106075345000,1525895800000000,712702000
005935,삼성전자우,KOSPI,215000,-2.27,3321960,714221400000,172509800000000,802371000
402340,SK스퀘어,KOSPI,1289000,-5.29,497503,641281367000,170094400000000,131958000
005380,현대차,KOSPI,679000,-3.0,884072,600284888000,139030500000000,204758000
009150,삼성전기,KOSPI,1798000,4.78,1208703,2173247994000,134299300000000,74694000
373220,LG에너지솔루션,KOSPI,412000,-2.37,241425,99467100000,96408000000000,234000000
032830,삼성생명,KOSPI,407500,-6.96,249224,101558780000,81500000000000,200000000
028260,삼성물산,KOSPI,451500,-15.61,480426,216912339000,73218700000000,162168000
329180,HD현대중공업,KOSPI,668000,2.61,232901,155577868000,70114100000000,104961000
012330,현대모비스,KOSPI,701000,-6.28,573212,401821612000,63603500000000,90733000
105560,KB금융,KOSPI,168600,2.68,1918165,323402619000,62862600000000,372850000
000270,기아,KOSPI,159500,-2.92,558686,89110417000,62270900000000,390413000
207940,삼성바이오로직스,KOSPI,1341000,-0.67,28818,38644938000,62076200000000,46291000
034020,두산에너빌리티,KOSPI,96100,-3.12,2449005,235349380500,61557900000000,640561000
012450,한화에어로스페이스,KOSPI,1048000,-1.87,83870,87895760000,54038400000000,51563000
055550,신한지주,KOSPI,106750,6.64,1840074,196427899500,50669400000000,474654000
066570,LG전자,KOSPI,306500,-6.55,4210003,1290365919500,49924100000000,162885000
006400,삼성SDI,KOSPI,573000,-5.6,352620,202051260000,46175500000000,80586000
034730,SK,KOSPI,626000,-6.29,169742,106258492000,45386700000000,72503000
035420,NAVER,KOSPI,252000,-5.79,1623055,409009860000,39532200000000,156874000
068270,셀트리온,KOSPI,171000,-3.12,376776,64428696000,37899300000000,221633000
267260,HD현대일렉트릭,KOSPI,975000,-2.4,78856,76884600000,35146000000000,36047000
010120,LS ELECTRIC,KOSPI,230500,-3.76,466783,107593481500,34575000000000,150000000
042660,한화오션,KOSPI,112600,-2.17,664571,74830694600,34502100000000,306413000
086790,하나금융지주,KOSPI,123200,2.16,634558,78177545600,33802100000000,274368000
298040,효성중공업,KOSPI,3449000,-1.12,24236,83589964000,32160400000000,9325000
006800,미래에셋증권,KOSPI,57000,-2.23,2375316,135393012000,31895300000000,559567000
000810,삼성화재,KOSPI,697000,-4.52,141864,98879208000,31119300000000,44647000
005490,POSCO홀딩스,KOSPI,386500,-3.86,266238,102900987000,30626800000000,79242000
069500,KODEX 200,KOSPI,132565,-4.44,14151145,1875946536925,29091400000000,219450000
011070,LG이노텍,KOSPI,1217000,3.75,612255,745114335000,28802900000000,23667000
042700,한미반도체,KOSPI,291500,-4.11,587807,171345740500,27783500000000,95312000
000150,두산,KOSPI,1712000,-4.89,77344,132412928000,27723800000000,16194000
009540,HD한국조선해양,KOSPI,375500,-1.05,147239,55288244500,26575300000000,70773000
010130,고려아연,KOSPI,1266000,-3.8,8936,11312976000,26425200000000,20873000
051910,LG화학,KOSPI,347500,-1.28,161517,56127157500,24530800000000,70592000
010140,삼성중공업,KOSPI,27850,-1.94,3476757,96827682450,24508000000000,880000000
015760,한국전력,KOSPI,38100,-1.55,1558145,59365324500,24458800000000,641964000
316140,우리금융지주,KOSPI,31100,2.3,1610088,50073736800,22829800000000,734076000
017670,SK텔레콤,KOSPI,106100,-2.57,1351885,143434998500,22789200000000,214790000
307950,현대오토에버,KOSPI,801000,-4.53,114692,91868292000,21966600000000,27424000
267250,HD현대,KOSPI,269000,-3.93,73667,19816423000,21249100000000,78993000
064350,현대로템,KOSPI,191900,-0.42,237134,45506014600,20944400000000,109142000
018260,삼성에스디에스,KOSPI,252500,-5.78,398440,100606100000,19537900000000,77378000
096770,SK이노베이션,KOSPI,114800,-1.71,278534,31975703200,19407300000000,169053000
360750,TIGER 미국S&P500,KOSPI,28920,1.12,5121050,148100766000,19356200000000,669300000
003550,LG,KOSPI,122900,-5.39,592069,72765280100,18953800000000,154222000
003670,포스코퓨처엠,KOSPI,209500,-5.42,127895,26794002500,18634200000000,88946000
033780,KT&G,KOSPI,178700,1.65,137605,24590013500,18550900000000,103810000
011200,HMM,KOSPI,19550,-0.36,795739,15556697450,18440300000000,943238000
138040,메리츠금융지주,KOSPI,107500,0.94,157769,16960167500,17989800000000,167347000
