종목코드,종목명,시장,현재가,등락률,거래량,거래대금,시가총액,상장주식수
005930,삼성전자,KOSPI,322000,8.97,28989253,9334539466000,1882501700000000,5846279000
000660,SK하이닉스,KOSPI,2215000,15.91,5791934,12829133810000,1578635700000000,712702000
402340,SK스퀘어,KOSPI,1269000,13.51,847663,1075684347000,167455200000000,131958000
005935,삼성전자우,KOSPI,203500,5.71,5289639,1076441536500,163282500000000,802371000
009150,삼성전기,KOSPI,1970000,18.39,1650596,3251674120000,147146600000000,74694000
005380,현대차,KOSPI,639000,0.0,1602837,1024212843000,130840200000000,204758000
373220,LG에너지솔루션,KOSPI,396500,2.06,420962,166911433000,92781000000000,234000000
032830,삼성생명,KOSPI,393000,4.66,474412,186443916000,78600000000000,200000000
028260,삼성물산,KOSPI,429000,5.02,625414,268302606000,69569900000000,162168000
329180,HD현대중공업,KOSPI,612000,-1.45,336872,206165664000,64236300000000,104961000
000270,기아,KOSPI,164300,8.52,2331570,383076951000,64144900000000,390413000
207940,삼성바이오로직스,KOSPI,1296000,4.26,58881,76309776000,59993100000000,46291000
034020,두산에너빌리티,KOSPI,92300,7.58,3082661,284529610300,59123800000000,640561000
105560,KB금융,KOSPI,154800,2.18,1615435,250069338000,54905700000000,354688000
012330,현대모비스,KOSPI,595000,-2.78,1196958,712190010000,53985900000000,90733000
012450,한화에어로스페이스,KOSPI,1016000,0.99,201707,204934312000,52388400000000,51563000
055550,신한지주,KOSPI,101200,4.22,1853431,187567217200,48035000000000,474654000
034730,SK,KOSPI,594000,3.85,230780,137083320000,43066600000000,72503000
006400,삼성SDI,KOSPI,515000,2.39,590666,304192990000,41501500000000,80586000
066570,LG전자,KOSPI,248000,-7.46,5188949,1286859352000,40395400000000,162885000
035420,NAVER,KOSPI,257000,-7.89,6917809,1777876913000,40316600000000,156874000
068270,셀트리온,KOSPI,170000,6.65,690173,117329410000,37677700000000,221633000
267260,HD현대일렉트릭,KOSPI,944000,6.19,126447,119365968000,34028500000000,36047000
010120,LS ELECTRIC,KOSPI,219500,5.53,919390,201806105000,32925000000000,150000000
086790,하나금융지주,KOSPI,119000,5.87,992410,118096790000,32649800000000,274368000
298040,효성중공업,KOSPI,3467000,8.48,47004,162962868000,32328200000000,9325000
042660,한화오션,KOSPI,102200,-0.87,1351983,138172662600,31315400000000,306413000
000810,삼성화재,KOSPI,655000,-2.24,224520,147060600000,29244100000000,44647000
005490,POSCO홀딩스,KOSPI,364500,1.53,383046,139620267000,28883500000000,79242000
006800,미래에셋증권,KOSPI,51500,3.52,3230522,166371883000,28817700000000,559567000
069500,KODEX 200,KOSPI,130130,8.84,15791931,2055003981030,28472400000000,218800000
011070,LG이노텍,KOSPI,1137000,3.84,753937,857226369000,26909500000000,23667000
042700,한미반도체,KOSPI,276500,9.07,851234,235366201000,26353800000000,95312000
009540,HD한국조선해양,KOSPI,362500,1.12,252538,91545025000,25655300000000,70773000
000150,두산,KOSPI,1566000,-0.76,153485,240357510000,25359500000000,16194000
010130,고려아연,KOSPI,1212000,5.48,22270,26991240000,25298000000000,20873000
051910,LG화학,KOSPI,329000,2.49,442906,145716074000,23224900000000,70592000
017670,SK텔레콤,KOSPI,108100,1.31,3713310,401408811000,23218800000000,214790000
015760,한국전력,KOSPI,36100,0.28,3364256,121449641600,23174900000000,641964000
010140,삼성중공업,KOSPI,25850,-0.96,5578411,144201924350,22748000000000,880000000
316140,우리금융지주,KOSPI,30000,3.99,2768225,83046750000,22022300000000,734076000
064350,현대로템,KOSPI,180900,3.37,636921,115219008900,19743800000000,109142000
018260,삼성에스디에스,KOSPI,252500,6.99,1111312,280606280000,19537900000000,77378000
033780,KT&G,KOSPI,184300,4.01,295569,54473366700,19132300000000,103810000
267250,HD현대,KOSPI,241000,-2.82,182603,44007323000,19037300000000,78993000
307950,현대오토에버,KOSPI,687000,-8.64,338857,232794759000,18840300000000,27424000
360750,TIGER 미국S&P500,KOSPI,27870,-1.06,28409019,791759359530,18760700000000,673150000
138040,메리츠금융지주,KOSPI,109100,6.13,364454,39761931400,18257600000000,167347000
011200,HMM,KOSPI,19030,2.04,1307905,24889432150,17949800000000,943238000
096770,SK이노베이션,KOSPI,105700,1.05,398633,42135508100,17868900000000,169053000
035720,카카오,KOSPI,39500,2.33,2013579,79536370500,17449700000000,441765000
003550,LG,KOSPI,112600,-1.14,1059543,119304541800,17365400000000,154222000
003670,포스코퓨처엠,KOSPI,193000,2.82,287081,55406633000,17166600000000,88946000
024110,기업은행,KOSPI,20550,1.48,1518787,31211072850,16387100000000,797426000
272210,한화시스템,KOSPI,86600,0.12,719905,62343773000,16360400000000,188919000
079550,LIG디펜스앤에어로스페이스,KOSPI,725000,4.17,275179,199504775000,15950000000000,22000000
278470,에이피알,KOSPI,405000,10.66,283976,115010280000,15162500000000,37438000
086280,현대글로비스,KOSPI,198000,3.13,323101,63973998000,14850000000000,75000000
000720,현대건설,KOSPI,122300,4.98,633184,77438403200,13618800000000,111356000
030200,KT,KOSPI,53800,-0.19,323404,17399135200,13558800000000,252022000
396500,TIGER 반도체TOP10,KOSPI,49410,12.07,18435338,910890050580,12992400000000,262950000
071050,한국금융지주,KOSPI,231500,7.18,221831,51353876500,12900600000000,55726000
010950,S-Oil,KOSPI,110900,2.21,398524,44196311600,12485400000000,112583000
047810,한국항공우주,KOSPI,127700,2.16,665780,85020106000,12447600000000,97475000
006260,LS,KOSPI,387500,4.45,194662,75431525000,12090000000000,31200000
323410,카카오뱅크,KOSPI,24400,7.25,2472156,60320606400,11641700000000,477120000
102110,TIGER 200,KOSPI,130195,8.87,4171645,543127320775,11307400000000,86850000
259960,크래프톤,KOSPI,244500,0.0,157063,38401903500,11280500000000,46137000
005940,NH투자증권,KOSPI,31250,6.11,790675,24708593750,11135800000000,356344000
133690,TIGER 미국나스닥100,KOSPI,198335,0.25,1143455,226787147425,11023500000000,55580000
016360,삼성증권,KOSPI,117500,6.72,581428,68317790000,10492800000000,89300000
0126Z0,삼성에피스홀딩스,KOSPI,421000,3.82,41986,17676106000,10475800000000,24883000
047050,포스코인터내셔널,KOSPI,56300,2.74,363997,20493031100,9904500000000,175923000
379800,KODEX 미국S&P500,KOSPI,25410,-1.11,32945900,837155319000,9612600000000,378300000
064400,LG씨엔에스,KOSPI,99000,-7.04,3254265,322172235000,9591700000000,96886000
005830,DB손해보험,KOSPI,143800,5.58,396995,57087881000,9419000000000,65500000
443060,HD현대마린솔루션,KOSPI,210000,1.2,124881,26225010000,9415000000000,44833000
039490,키움증권,KOSPI,357500,8.17,93798,33532785000,9376600000000,26228000
122630,KODEX 레버리지,KOSPI,185885,17.53,16450893,3057974245305,9192000000000,49450000
003490,대한항공,KOSPI,24850,4.41,1827147,45404602950,9150300000000,368221000
028050,삼성E&A,KOSPI,46450,4.5,1475636,68543292200,9104200000000,196000000
161390,한국타이어앤테크놀로지,KOSPI,73000,8.96,694879,50726167000,9042900000000,123875000
352820,하이브,KOSPI,206500,4.61,224346,46327449000,8900600000000,43102000
278530,KODEX 200TR,KOSPI,47000,8.8,986959,46387073000,8897100000000,189300000
