종목코드,종목명,시장,현재가,등락률,거래량,거래대금,시가총액,상장주식수
005930,삼성전자,KOSPI,351500,-2.5,34266508,12044677562000,2054966900000000,5846279000
000660,SK하이닉스,KOSPI,2298000,-2.63,3583482,8234841636000,1637790000000000,712702000
402340,SK스퀘어,KOSPI,1361000,1.11,857433,1166966313000,179595400000000,131958000
005935,삼성전자우,KOSPI,220000,-4.97,6937657,1526284540000,176521700000000,802371000
005380,현대차,KOSPI,700000,-3.98,1061547,743082900000,143330400000000,204758000
009150,삼성전기,KOSPI,1716000,-5.35,1434249,2461171284000,128174400000000,74694000
373220,LG에너지솔루션,KOSPI,422000,-4.63,707995,298773890000,98748000000000,234000000
032830,삼성생명,KOSPI,438000,-8.75,1011569,443067222000,87600000000000,200000000
028260,삼성물산,KOSPI,535000,10.2,1327284,710096940000,86759700000000,162168000
329180,HD현대중공업,KOSPI,651000,-3.27,354982,231093282000,68329800000000,104961000
012330,현대모비스,KOSPI,748000,-1.45,785500,587554000000,67868000000000,90733000
000270,기아,KOSPI,164300,-2.67,1472504,241932407200,64144900000000,390413000
034020,두산에너빌리티,KOSPI,99200,-0.8,2776295,275408464000,63543700000000,640561000
207940,삼성바이오로직스,KOSPI,1350000,-1.24,69504,93830400000,62492800000000,46291000
105560,KB금융,KOSPI,164200,4.85,2125881,349069660200,61222000000000,372850000
012450,한화에어로스페이스,KOSPI,1068000,-0.19,286748,306246864000,55069700000000,51563000
066570,LG전자,KOSPI,328000,-16.43,4288278,1406555184000,53426200000000,162885000
006400,삼성SDI,KOSPI,607000,0.83,466380,283092660000,48915400000000,80586000
034730,SK,KOSPI,668000,0.0,214821,143500428000,48431800000000,72503000
055550,신한지주,KOSPI,100100,3.84,2045213,204725821300,47512900000000,474654000
035420,NAVER,KOSPI,267500,-4.63,3324031,889178292500,41963700000000,156874000
068270,셀트리온,KOSPI,176500,-1.45,581517,102637750500,39118300000000,221633000
267260,HD현대일렉트릭,KOSPI,999000,0.4,256061,255804939000,36011100000000,36047000
010120,LS ELECTRIC,KOSPI,239500,-0.83,681610,163245595000,35925000000000,150000000
042660,한화오션,KOSPI,115100,-0.78,1284079,147797492900,35268200000000,306413000
086790,하나금융지주,KOSPI,120600,3.08,973823,117443053800,33088800000000,274368000
006800,미래에셋증권,KOSPI,58300,0.87,2297192,133926293600,32622700000000,559567000
000810,삼성화재,KOSPI,730000,13.88,443781,323960130000,32592700000000,44647000
298040,효성중공업,KOSPI,3488000,-1.58,42528,148337664000,32524000000000,9325000
005490,POSCO홀딩스,KOSPI,402000,0.75,481985,193757970000,31855100000000,79242000
069500,KODEX 200,KOSPI,138730,-2.01,14733090,2043921575700,30187600000000,217600000
000150,두산,KOSPI,1800000,-6.15,118100,212580000000,29148900000000,16194000
042700,한미반도체,KOSPI,304000,10.34,2394664,727977856000,28974900000000,95312000
011070,LG이노텍,KOSPI,1173000,-6.31,517407,606918411000,27761500000000,23667000
010130,고려아연,KOSPI,1316000,-0.45,19632,25835712000,27468800000000,20873000
009540,HD한국조선해양,KOSPI,379500,-1.04,306729,116403655500,26858400000000,70773000
010140,삼성중공업,KOSPI,28400,2.53,9540243,270942901200,24992000000000,880000000
051910,LG화학,KOSPI,352000,-0.85,360213,126794976000,24848500000000,70592000
015760,한국전력,KOSPI,38700,2.52,2039942,78945755400,24844000000000,641964000
017670,SK텔레콤,KOSPI,108900,-13.02,3053077,332480085300,23390600000000,214790000
307950,현대오토에버,KOSPI,839000,-6.57,121961,102325279000,23008700000000,27424000
316140,우리금융지주,KOSPI,30400,1.67,2111958,64203523200,22315900000000,734076000
267250,HD현대,KOSPI,280000,1.27,215001,60200280000,22118100000000,78993000
064350,현대로템,KOSPI,192700,-5.07,664097,127971491900,21031700000000,109142000
018260,삼성에스디에스,KOSPI,268000,-10.82,830264,222510752000,20737200000000,77378000
003550,LG,KOSPI,129900,-7.21,1000912,130018468800,20033400000000,154222000
096770,SK이노베이션,KOSPI,116800,0.43,410852,47987513600,19745400000000,169053000
003670,포스코퓨처엠,KOSPI,221500,-0.45,230006,50946329000,19701600000000,88946000
360750,TIGER 미국S&P500,KOSPI,28600,0.28,9644734,275839392400,19081900000000,667200000
035720,카카오,KOSPI,42000,-1.29,2029140,85223880000,18551000000000,441691000
011200,HMM,KOSPI,19620,0.56,1695609,33267848580,18506300000000,943238000
033780,KT&G,KOSPI,175800,-4.77,475523,83596943400,18249900000000,103810000
272210,한화시스템,KOSPI,96100,-1.33,768044,73809028400,18155200000000,188919000
138040,메리츠금융지주,KOSPI,106500,0.38,361035,38450227500,17822500000000,167347000
024110,기업은행,KOSPI,20500,0.74,1341212,27494846000,16347200000000,797426000
079550,LIG디펜스앤에어로스페이스,KOSPI,733000,0.96,246494,180680102000,16126000000000,22000000
086280,현대글로비스,KOSPI,211500,-4.51,336006,71065269000,15862500000000,75000000
000720,현대건설,KOSPI,136600,1.79,721992,98624107200,15211200000000,111356000
278470,에이피알,KOSPI,405000,1.0,254538,103087890000,15162500000000,37438000
396500,TIGER 반도체TOP10,KOSPI,52965,1.69,18173517,962560327905,14141700000000,267000000
071050,한국금융지주,KOSPI,250500,3.73,281396,70489698000,13959400000000,55726000
047810,한국항공우주,KOSPI,141500,-3.74,733216,103750064000,13792700000000,97475000
030200,KT,KOSPI,54500,1.11,418752,22821984000,13735200000000,252022000
006260,LS,KOSPI,435500,2.35,231229,100700229500,13587600000000,31200000
010950,S-Oil,KOSPI,114500,5.72,463256,53042812000,12890700000000,112583000
064400,LG씨엔에스,KOSPI,126400,-6.85,3324883,420265211200,12246400000000,96886000
102110,TIGER 200,KOSPI,138760,-1.93,3261619,452582252440,12079100000000,87050000
259960,크래프톤,KOSPI,254500,0.99,222114,56528013000,11741900000000,46137000
0126Z0,삼성에피스홀딩스,KOSPI,456500,-1.62,35472,16192968000,11359100000000,24883000
016360,삼성증권,KOSPI,127000,5.31,774111,98312097000,11341100000000,89300000
133690,TIGER 미국나스닥100,KOSPI,206240,0.93,704009,145194816160,11320500000000,54890000
005940,NH투자증권,KOSPI,31600,3.1,1068218,33755688800,11260500000000,356344000
323410,카카오뱅크,KOSPI,22550,2.5,922817,20809523350,10759100000000,477120000
047050,포스코인터내셔널,KOSPI,60200,0.5,580264,34931892800,10590600000000,175923000
122630,KODEX 레버리지,KOSPI,215360,-4.07,10727604,2310296797440,10401900000000,48300000
454910,두산로보틱스,KOSPI,157900,-5.28,4039039,637764258100,10235100000000,64820000
443060,HD현대마린솔루션,KOSPI,220000,-3.08,174202,38324440000,9863400000000,44833000
007660,이수페타시스,KOSPI,133700,-1.91,1144082,152963763400,9814800000000,73409000
379800,KODEX 미국S&P500,KOSPI,26065,0.25,15114855,393968695575,9808300000000,376300000
039490,키움증권,KOSPI,372000,2.2,97939,36433308000,9756900000000,26228000
028050,삼성E&A,KOSPI,49500,0.41,1274454,63085473000,9702000000000,196000000
278530,KODEX 200TR,KOSPI,50160,-1.85,1464903,73479534480,9480200000000,189000000
005830,DB손해보험,KOSPI,144700,-0.55,250598,36261530600,9477900000000,65500000
047040,대우건설,KOSPI,22950,0.66,7279643,167067806850,9430300000000,410908000
005387,현대차2우B,KOSPI,266000,-5.67,219961,58509626000,9300400000000,34964000
352820,하이브,KOSPI,215000,0.7,218799,47041785000,9267000000000,43102000
003490,대한항공,KOSPI,25050,-0.99,1231782,30856139100,9223900000000,368221000
000880,한화,KOSPI,130200,9.5,342851,44639200200,9180100000000,70508000
161390,한국타이어앤테크놀로지,KOSPI,71800,2.87,599241,43025503800,8894200000000,123875000
379810,KODEX 미국나스닥100,KOSPI,30875,0.88,10759538,332200735750,8609500000000,278850000
003230,삼양식품,KOSPI,1114000,-2.28,45672,50878608000,8391800000000,7533000
001440,대한전선,KOSPI,42350,-0.35,2807748,118908127800,8300300000000,195993000
034220,LG디스플레이,KOSPI,16120,-3.42,12460579,200864533480,8060000000000,500000000
180640,한진칼,KOSPI,120500,5.42,213595,25738197500,8044900000000,66762000
488770,KODEX 머니마켓액티브,KOSPI,104530,0.01,706152,73814068560,8000200000000,76535000
353200,대덕전자,KOSPI,159000,0.95,918555,146050245000,7857300000000,49417000
000990,DB하이텍,KOSPI,176400,3.7,795273,140286157200,7674200000000,43505000
459580,KODEX CD금리액티브(합성),KOSPI,1074075,0.02,240388,258194741100,7458700000000,6944000
091160,KODEX 반도체,KOSPI,168300,2.7,3950077,664797959100,7329500000000,43550000
267270,HD건설기계,KOSPI,148700,0.61,241810,35957147000,7126000000000,47922000
078930,GS,KOSPI,76300,5.1,377612,28811795600,7087900000000,92895000
326030,SK바이오팜,KOSPI,90500,2.38,311119,28156269500,7087300000000,78313000
009830,한화솔루션,KOSPI,39900,-2.21,1342855,53579914500,6858500000000,171893000
381180,TIGER 미국필라델피아반도체나스닥,KOSPI,54795,5.87,4946810,271060453950,6832900000000,124700000
062040,산일전기,KOSPI,222500,-1.11,261308,58141030000,6812000000000,30616000
032640,LG유플러스,KOSPI,15670,-2.97,1480549,23200202830,6650800000000,424428000
021240,코웨이,KOSPI,93000,-1.69,261608,24329544000,6581400000000,70767000
498400,KODEX 200타겟위클리커버드콜,KOSPI,27310,-1.85,10808415,295177813650,6568100000000,240500000
241560,두산밥캣,KOSPI,68400,4.91,376536,25755062400,6556600000000,95856000
090430,아모레퍼시픽,KOSPI,111200,1.74,313061,34812383200,6504400000000,58493000
000100,유한양행,KOSPI,80100,-1.72,366578,29362897800,6379800000000,79648000
128940,한미약품,KOSPI,491500,-3.06,211485,103944877500,6296600000000,12811000
377300,카카오페이,KOSPI,46400,-0.43,191556,8888198400,6275900000000,135256000
005385,현대차우,KOSPI,268000,-4.96,107402,28783736000,6255400000000,23341000
036570,NC,KOSPI,289500,-14.35,298310,86360745000,6237000000000,21544000
310970,TIGER MSCI Korea TR,KOSPI,61800,-2.06,56908,3516914400,6229400000000,100800000
004170,신세계,KOSPI,659000,15.82,163538,107771542000,6224400000000,9445000
066970,엘앤에프,KOSPI,150100,0.07,376950,56580195000,6072400000000,40455000
011790,SKC,KOSPI,155900,11.2,1966122,306518419800,5903700000000,37868000
010060,OCI홀딩스,KOSPI,311500,-1.58,206759,64405428500,5815800000000,18670000
000500,가온전선,KOSPI,338500,-12.31,49917,16896904500,5599800000000,16543000
0167A0,SOL AI반도체TOP2플러스,KOSPI,24100,-2.29,28258105,681020330500,5544200000000,230050000
336260,두산퓨얼셀,KOSPI,84600,2.17,360982,30539077200,5540800000000,65494000
138930,BNK금융지주,KOSPI,17270,0.58,1067116,18429093320,5359300000000,310327000
