종목코드,종목명,시장,현재가,등락률,거래량,거래대금,시가총액,상장주식수
060310,3S,KOSDAQ,1815,6.14,8341122,15561042724,96302157600,53059040
095570,AJ네트웍스,KOSPI,4545,-1.84,385061,1756624160,205673789655,45252759
006840,AK홀딩스,KOSPI,7790,1.3,11649,89814200,103198500190,13247561
054620,APS,KOSDAQ,6050,0.33,192062,1158491390,111285037050,18394221
079810,APS이노베이션,KOSDAQ,5590,2.57,345797,1925567590,120342045460,21528094
265520,AP시스템,KOSDAQ,28450,2.89,210434,5872108025,428195857450,15050821
211270,AP위성,KOSDAQ,16850,3.37,207122,3422673840,254136822400,15082304
027410,BGF,KOSPI,4745,-0.73,356390,1665921775,454176173295,95716791
282330,BGF리테일,KOSPI,133700,0.83,108572,14467034200,2310858232200,17283906
126600,BGF에코머티리얼즈,KOSDAQ,3715,-2.49,207689,783398841,233179029785,62766899
138930,BNK금융지주,KOSPI,17190,-1.66,1346233,23253476040,5334521697270,310327033
001460,BYC,KOSPI,46100,0.22,5481,253369700,287947515000,6246150
001465,BYC우,KOSPI,32150,0.63,401,12855250,69246277500,2153850
083790,CG인바이츠,KOSDAQ,1196,-1.73,227548,266613426,91965441672,76894182
001040,CJ,KOSPI,202500,-2.64,135736,27949398250,5908342095000,29176998
079160,CJ CGV,KOSPI,4875,-3.27,541988,2652563731,807214048875,165582369
035760,CJ ENM,KOSDAQ,43550,-5.12,211307,9375356350,955014656700,21929154
311690,CJ 바이오사이언스,KOSDAQ,6760,-5.06,66168,457646090,88322523120,13065462
00104K,CJ4우(전환),KOSPI,176500,-2.38,8590,1521378900,745979368000,4226512
000120,CJ대한통운,KOSPI,95400,-0.31,82603,7952779900,2176297617600,22812344
011150,CJ씨푸드,KOSPI,2495,-2.16,232372,583953465,89647278635,35930773
011155,CJ씨푸드1우,KOSPI,13170,0.0,280,3687600,2634000000,200000
001045,CJ우,KOSPI,85000,-0.82,5645,479199400,192118955000,2260223
097950,CJ제일제당,KOSPI,208500,-1.88,76579,16136291500,3138797781000,15054186
097955,CJ제일제당 우,KOSPI,129700,-2.19,12106,1581435200,172168060100,1327433
051500,CJ프레시웨이,KOSDAQ,25700,1.18,66301,1671287150,305099760200,11871586
058820,CMG제약,KOSDAQ,1493,-1.32,767820,1160516950,220728379219,147842183
056730,CNT85,KOSDAQ,514,0.0,0,0,38093149604,74111186
000480,CR홀딩스,KOSPI,4815,-0.1,51607,247445760,225777709350,46890490
065770,CS,KOSDAQ,1584,0.0,0,0,30747229920,19411130
083660,CSA 코스믹,KOSDAQ,326,-2.4,697656,224949105,20482403634,62829459
000590,CS홀딩스,KOSPI,76000,0.13,936,70479650,87740632000,1154482
012030,DB,KOSPI,2300,2.0,3482336,7710643943,462700045900,201173933
477760,DB금융스팩12호,KOSDAQ,2230,0.0,0,0,13023200000,5840000
005830,DB손해보험,KOSPI,160800,-0.43,150197,24139228020,10532456119200,65500349
016610,DB증권,KOSPI,13880,-1.0,87656,1206941695,589155879320,42446389
000990,DB하이텍,KOSPI,185600,11.94,958991,169299761450,8074451532800,43504588
099520,DGI,KOSDAQ,1284,0.0,0,0,58141862016,45281824
000300,DH오토넥스,KOSPI,4200,0.0,0,0,174035631000,41437055
290120,DH오토리드,KOSDAQ,2740,-0.18,63502,175840030,43358442260,15824249
