종목코드,종목명,시장,현재가,등락률,거래량,거래대금,시가총액,상장주식수
060310,3S,KOSDAQ,1732,13.35,9487816,17200330361,91898257280,53059040
095570,AJ네트웍스,KOSPI,4740,-4.24,396928,1904849003,214498077660,45252759
006840,AK홀딩스,KOSPI,7910,-2.1,16091,127821665,104788207510,13247561
054620,APS,KOSDAQ,6310,-5.68,214998,1371185830,116067534510,18394221
079810,APS이노베이션,KOSDAQ,5800,-2.52,446010,2592704435,124862945200,21528094
265520,AP시스템,KOSDAQ,28700,-4.97,426194,12405453175,431958562700,15050821
211270,AP위성,KOSDAQ,17080,-0.12,403860,7054110775,257605752320,15082304
027410,BGF,KOSPI,4925,-2.28,319163,1582735307,471405195675,95716791
282330,BGF리테일,KOSPI,132700,-4.26,96061,13081407250,2293574326200,17283906
126600,BGF에코머티리얼즈,KOSDAQ,3900,-2.74,288807,1142165118,244790906100,62766899
138930,BNK금융지주,KOSPI,17640,-1.45,1156663,20558286735,5474168862120,310327033
001460,BYC,KOSPI,46500,-5.1,5527,261335050,290445975000,6246150
001465,BYC우,KOSPI,32500,-2.4,1437,46404050,70000125000,2153850
083790,CG인바이츠,KOSDAQ,1145,-1.8,377272,422880907,88043838390,76894182
001040,CJ,KOSPI,218500,-1.58,114361,25195271250,6375174063000,29176998
079160,CJ CGV,KOSPI,4860,-2.61,807636,3946433492,804730313340,165582369
035760,CJ ENM,KOSDAQ,48000,-4.19,142844,6908139100,1052599392000,21929154
311690,CJ 바이오사이언스,KOSDAQ,7450,-3.37,26971,201304100,97337691900,13065462
00104K,CJ4우(전환),KOSPI,189400,-1.56,2976,565418400,800501372800,4226512
000120,CJ대한통운,KOSPI,97200,-3.38,110961,10894089550,2217359836800,22812344
011150,CJ씨푸드,KOSPI,2585,-1.34,192793,498877645,92881048205,35930773
011155,CJ씨푸드1우,KOSPI,13300,-1.55,1010,13222970,2660000000,200000
001045,CJ우,KOSPI,88900,-3.37,5865,530535700,200933824700,2260223
097950,CJ제일제당,KOSPI,225500,-1.53,55655,12618479500,3394718943000,15054186
097955,CJ제일제당 우,KOSPI,134500,-1.47,5878,795689300,178539738500,1327433
051500,CJ프레시웨이,KOSDAQ,26650,-2.91,64985,1721899300,316377766900,11871586
058820,CMG제약,KOSDAQ,1515,-4.48,1549530,2360685420,223980907245,147842183
056730,CNT85,KOSDAQ,514,0.0,0,0,38093149604,74111186
000480,CR홀딩스,KOSPI,4925,-1.2,33707,166608825,230935663250,46890490
065770,CS,KOSDAQ,1584,0.0,0,0,30747229920,19411130
083660,CSA 코스믹,KOSDAQ,336,-3.45,700759,238256507,21110698224,62829459
000590,CS홀딩스,KOSPI,77800,-2.38,1195,93346800,89818699600,1154482
012030,DB,KOSPI,2175,6.62,6603385,14321018802,437553304275,201173933
477760,DB금융스팩12호,KOSDAQ,2230,0.0,0,0,13023200000,5840000
005830,DB손해보험,KOSPI,162200,-1.46,160698,26200516500,10624156607800,65500349
016610,DB증권,KOSPI,14900,-2.17,139121,2099952410,632451196100,42446389
000990,DB하이텍,KOSPI,186700,11.06,1307405,241729733450,8122306579600,43504588
099520,DGI,KOSDAQ,1284,0.0,0,0,58141862016,45281824
000300,DH오토넥스,KOSPI,4200,0.0,0,0,174035631000,41437055
290120,DH오토리드,KOSDAQ,2795,-4.12,92647,259409048,44228775955,15824249
025440,DH오토웨어,KOSDAQ,805,-4.17,190494,155810038,39268885320,48781224
001530,DI동일,KOSPI,26900,-2.0,67979,1852318000,557250204900,20715621
015590,DKME,KOSPI,2575,0.0,0,0,122045493100,47396308
000210,DL,KOSPI,67000,4.69,273597,18183676300,1404044228000,20955884
000215,DL우,KOSPI,28800,0.35,6418,186556175,48560112000,1686115
375500,DL이앤씨,KOSPI,91300,-4.3,627930,57879424700,3532727779900,38693623
37550L,DL이앤씨2우(전환),KOSPI,54400,-4.23,6618,364851700,114890134400,2111951
37550K,DL이앤씨우,KOSPI,29500,-3.59,26640,792122925,62359607500,2113885
068790,DMS,KOSDAQ,8050,-1.23,157912,1279950405,181690303200,22570224
007340,DN오토모티브,KOSPI,48750,-4.6,273470,13369589425,2852404668750,58510865
004840,DRB동일,KOSPI,4985,-4.13,60688,305730075,96072734540,19272364
241520,DSC인베스트먼트,KOSDAQ,15830,0.7,795735,12727854665,421078000000,26600000
155660,DSR,KOSPI,4300,-2.93,28567,123254605,68800000000,16000000
069730,DSR제강,KOSPI,5160,-6.18,127118,670640570,74304000000,14400000
017860,DS단석,KOSPI,21550,-3.15,230096,5028304175,382709445450,17759139
180400,DXVX,KOSDAQ,3975,-3.87,208105,826608515,391256992200,98429432
092780,DYP,KOSPI,5080,1.2,81382,410289700,66895776800,13168460
017940,E1,KOSPI,99900,-2.35,13683,1376529150,685314000000,6860000
418620,E8,KOSDAQ,1336,-5.25,187521,253502532,26520237272,19850477
245620,EDGC,KOSDAQ,415,0.0,0,0,57474989665,138493951
